Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,has_lyrics
1KpUbzeaGFdcBD7aeEj0k9,Good Day for Living,Good Day for Living,Joe Nichols,2022-01-14,190066,0,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:23:07Z,"country,acoustic country",Quartz Hill Records,0.436,0.849,11,-5.279,1,0.0689,0.0122,0.0,0.122,0.696,82.465,4,True
3j1xkzTW8owIphkWV51V9s,Like I Love Country Music,Like I Love Country Music,Kane Brown,2022-05-06,234340,56,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:23:52Z,"country,pop country",RCA Records Label Nashville,0.542,0.82,8,-6.073,1,0.0432,0.000682,0.000136,0.0561,0.702,124.85,4,True
200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-04-08,206106,67,22o5lnwyfofbaefafhryhcdbi,2023-03-19T20:24:49Z,"country,acoustic country",Warner Music Nashville,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,4,True
0U4iRayct65wsaBMQGiLbg,5 Foot 9,Tyler Hubbard,Tyler Hubbard,2023-01-27,189773,63,22o5lnwyfofbaefafhryhcdbi,2023-02-28T18:32:21Z,country,EMI Nashville,0.605,0.79,5,-5.576,1,0.0454,0.16,0.0,0.126,0.507,105.997,4,True
5ekA7j4MPQa3NZbZQSpRfF,One Mississippi,Different Man,Kane Brown,2022-09-09,214293,49,22o5lnwyfofbaefafhryhcdbi,2023-03-19T20:35:52Z,"country,pop country",RCA Records Label Nashville,0.463,0.84,0,-5.807,1,0.0385,0.00204,2.16e-06,0.197,0.575,99.991,4,True
4wBjKhJx6JnGoNJfJs24pd,Thinking 'Bout You (feat. MacKenzie Porter),Blue In The Sky,"Dustin Lynch,MacKenzie Porter",2022-02-12,170560,0,22o5lnwyfofbaefafhryhcdbi,2023-03-19T22:00:41Z,"country,acoustic country",Broken Bow Records,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,4,True
6Qpfsw8OS5HW5XxgmXYLWS,Handle On You,Handle On You,Parker McCollum,2022-08-05,219333,54,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:23:57Z,"texas country,red dirt,country",MCA Nashville,0.588,0.931,6,-3.925,1,0.0318,0.00411,0.0,0.345,0.625,105.027,4,True
5W4kiM2cUYBJXKRudNyxjW,You Proof,One Thing At A Time,Morgan Wallen,2023-03-03,157477,75,22o5lnwyfofbaefafhryhcdbi,2023-03-10T05:26:35Z,country,Big Loud Records / Mercury Records / Republic Records,0.728,0.818,9,-5.068,1,0.0329,0.323,0.0,0.582,0.681,119.706,4,True
2D3JfPyY2LkzXgNOb7qziR,red,the mockingbird & THE CROW,"HARDY,Morgan Wallen",2023-01-20,205767,4,22o5lnwyfofbaefafhryhcdbi,2023-12-30T07:09:13Z,"country,country rock",Big Loud Records / Big Loud Rock,0.582,0.878,11,-4.564,1,0.0404,0.0305,0.0,0.0791,0.581,140.03,4,True
6FniJZn4agmDtPx1pKZQsa,More Than My Hometown,More Than My Hometown,Morgan Wallen,2020-04-17,216573,0,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:24:02Z,country,Big Loud Records,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,4,True
3eBnEo9WL34ulBCZlLpUQO,Chicken Fried,The Foundation,Zac Brown Band,2008-11-17,238146,1,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:24:17Z,"country,acoustic country",Home Grown Music,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861,4,True
1dyxS3YzBbL0t8rEVwVQ1K,God's Country,God's Country,Blake Shelton,2019-03-29,205106,62,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:24:33Z,country,Warner Records,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,4,True
72xDxwWk5h3XfGXcCWJASo,Life Rolls On,6-Pack,Florida Georgia Line,2021-01-15,201066,0,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:24:52Z,"country,pop country,acoustic country",BMLG Records,0.572,0.691,6,-5.038,1,0.0314,0.163,0.0,0.14,0.36,130.974,4,True
0i5el041vd6nxrGEU8QRxy,Cruise,Here's To The Good Times,Florida Georgia Line,2012-01-01,208960,64,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:24:55Z,"country,pop country,acoustic country",BMX,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.001,4,True
2uX5f3x2cObov0iDAPln4o,Song of the South,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,Alabama,1980,190800,64,22o5lnwyfofbaefafhryhcdbi,2023-02-05T02:25:35Z,"country,country rock,christian country",RLG/Legacy,0.486,0.633,9,-8.414,1,0.0365,0.176,0.0,0.312,0.669,162.158,4,True
2uJcLlydqLdGiiABFa4KfN,Mr Red White and Blue,Boots and Jeans,Coffey Anderson,2016-05-20,207986,0,22o5lnwyfofbaefafhryhcdbi,2023-02-05T15:22:10Z,country,Coffey Global LLC,0.501,0.743,0,-5.789,1,0.037,0.14,6.56e-06,0.251,0.325,156.036,4,True
3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,True Believers,Darius Rucker,2013-01-01,298373,73,22o5lnwyfofbaefafhryhcdbi,2023-02-21T03:29:03Z,country,Capitol Records Nashville,0.535,0.66,9,-7.174,1,0.0297,0.455,0.0,0.135,0.577,148.044,4,True
1irAliF0T8sLIOPJp6n7rU,Single Saturday Night,Single Saturday Night,Cole Swindell,2020-05-22,187683,49,22o5lnwyfofbaefafhryhcdbi,2023-02-21T03:29:18Z,"country,acoustic country",Warner Music Nashville,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,4,True
7mDZ2NdYOeKFcz2zGnKBwU,Gone Too Soon,Gone Too Soon,Andrew Jannakos,2020-09-15,169254,0,22o5lnwyfofbaefafhryhcdbi,2023-02-21T03:30:04Z,country,Andrew Jannakos,0.529,0.723,4,-6.022,0,0.035,0.0175,0.0,0.364,0.459,119.942,4,True
6Awl7JBDQjfm7xkS3LkhDi,We Got History,This Is the Heavy,Mitchell Tenpenny,2022-09-16,203680,58,22o5lnwyfofbaefafhryhcdbi,2023-02-24T19:02:56Z,country,Riser House Entertainment/Columbia Nashville,0.628,0.833,0,-6.327,1,0.0311,0.0014,0.0,0.104,0.309,98.025,4,True
2KtGiBi5CrX2ERPD2PAS34,Dancin’ In The Country,Tyler Hubbard,Tyler Hubbard,2023-01-27,179640,66,22o5lnwyfofbaefafhryhcdbi,2023-02-26T19:06:33Z,country,EMI Nashville,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,4,True
31o5omf8dh0tNaSCdM6cu3,Party Mode,Blue In The Sky,Dustin Lynch,2022-02-12,211986,0,22o5lnwyfofbaefafhryhcdbi,2023-02-25T06:14:43Z,"country,acoustic country",Broken Bow Records,0.619,0.916,10,-2.752,0,0.0468,0.0483,4.88e-06,0.246,0.785,114.019,4,True
